 Tweet Text, Information Source, Information Type, Informativeness
RT @realtimwilliams: #BREAKING: NBC now confirming CBS LA report from earlier that a TSA agent has been killed in #LAX Shooting.,Media,Affected individuals,Related and informative
RT @NBC12: UPDATE: TSA agent killed in #LAXShooting  Special Report coming up on NBC12 MORE: http://t.co/w85wLpciYB,Media,Affected individuals,Related and informative
Waiting at a hotel about a half mile from the airport. No idea when LAX might reopen or when flights will start flying again #LAXshooting,Eyewitness,Affected individuals,Related - but not informative
@BobbyDtv: “@pascaljosh: Now being evacuated by police escort. Moving through baggage claim. Police are clearing rooms as we move. #LAX”,Not labeled,Not labeled,Not related
#LAPD to hold first briefing in 30 minutes on #LAXShooting at 14:30EST/11:30PST.,Government,Other Useful Information,Related and informative
RT @Beltrew: Rt @Claire_Phipps: #LAX: several people reported injured after airport shooting – live updates http://t.co/jQzmc8MTbl via @gua…,Media,Affected individuals,Related and informative
SUIVI - Autre Photo de l'arme utilisée à #LAX v http://t.co/cwkC94LgQU,Not labeled,Not labeled,Not applicable
Why was the suspect targeting TSA? So sad! #LAXshooting #LAX #socialmedia,Outsiders,Sympathy and support,Related - but not informative
"RT @LATimescitybeat: All flights at LAX grounded at the moment, FYI -- so no reason to attempt to go anywhere near the airport.",Media,Infrastructure and utilities,Related and informative
Catching up on the news. What are the chances the #LosAngeles airport gunman is a disgruntled former employee with a grudge? Just a guess..,Outsiders,Other Useful Information,Related and informative
RT @foxnewsradio: Reports of shots fired at #LAX. LISTEN to eyewitness testimony: http://t.co/AZdqGlPu7r,Media,Other Useful Information,Related and informative
"BREAKING: One TSA agent killed, one wounded in #LAX shooting http://t.co/t1fU0tGPNq",Media,Affected individuals,Related and informative
RT @ABC7: #LAX UPDATE: LAPD's West Bureau and South Bureau are in tactical alert due to the shooting http://t.co/u5lTveArpy,Media,Affected individuals,Related and informative
"Shooting at Los Angeles airport: Several people are reported wounded by gunfire, including a transport securit... http://t.co/zF6w5jbJHG",Media,Affected individuals,Related and informative
"RT @YourAnonNews: BREAKING: One TSA agent killed, one wounded in #LAX shooting http://t.co/t1fU0tGPNq",Media,Affected individuals,Related and informative
RT @miguelcbs4: #BREAKING @CBSNews special report on #LAXShooting about to begin @CBSMIAMI,Media,Other Useful Information,Related and informative
Update: One person in custody after shooting at Los Angeles International Airport  http://t.co/WupIgtmXhW #LAX,Media,Affected individuals,Related and informative
RT @AP BREAKING: Police say suspect in custody following LAX shooting. #LAXShooting,Media,Affected individuals,Related and informative
"RT @BBCBreaking: Suspect in custody &amp; multiple victims at #LAX, official airport tweet says after shootings http://t.co/S7ZZP2WWAm #LAX",Media,Affected individuals,Related and informative
"RT @CBSLA: #LAX UPDATE: #FBI, @Eric_Garcetti &amp; @LAPDChiefBeck to hold news conf. at 11:30A. Watch live @CBSLA.com, #CBS2, #KCAL9. Listen li…",Media,Affected individuals,Related and informative
"RT @BBCBreaking: Suspect in custody &amp; multiple victims at #LAX, official airport tweet says after shootings http://t.co/S7ZZP2WWAm #LAX",Media,Affected individuals,Related and informative
"RT @CarlosWPLG: Photo: bloodied clothes, gun inside terminal. Shooting began before checkpoint and continued through? #LAXShooting http://t…",Media,Other Useful Information,Related and informative
RT @RaniaKhalek: Thought experiment: How would you react if LAPD dropped a hellfire missile on #LAX to take out 1 shooter? That’s how drone…,Outsiders,Other Useful Information,Related - but not informative
"RT @DanceIt1: There has been another shooting at Los Angeles international airport, the world is not safe anyone.",Outsiders,Affected individuals,Related - but not informative
"LAX shooting: Three people shot, suspect 'neutralized' - San Francisco News http://t.co/LdTckUAxbA",Media,Affected individuals,Related and informative
RT @nbc15_madison: More: Gunman kills TSA official in #LAX terminal #NBC15 http://t.co/DVRq0YvOQS http://t.co/6zhnnibGpq,Media,Affected individuals,Related and informative
RT @myfoxla: #BREAKING: LAPD spokesperson says multiple victims in #LAX shooting. Live reports continue on Fox 11 and http://t.co/79oAYMung…,Media,Affected individuals,Related and informative
"RT @PzFeed: SHOOTING AT LAX AIRPORT: -2 SUSPECTS -1 SHOT, 1 IN CUSTODY -AT LEAST 2 PEOPLE SHOT -8-10 SHOTS FIRED -SUSPECT HAD A RIFLE -FAA …",Media,Affected individuals,Related and informative
RT @abc15: JUST IN: @PHXSkyHarbor confirms flights from #Phoenix to #LAX are delayed. Travelers urged to check flight status before heading…,Media,Caution and advice,Related and informative
RT @SacIntlAirport: Outgoing flights to and from LAX  via SMF delayed indefinitely due to #LAXshooting. Call your airline for details,Government,Infrastructure and utilities,Related and informative
Tarps set up for multiple injuries: HLN's Mike Brooks talks about possible injuries at the LAX airport followi... http://t.co/j0N7zID6s5,Media,Affected individuals,Related and informative
RT @HeadIineNews: LAPD now reporting Ex-NSA chief Michael Hayden shot dead at #LAX Radical Christian group claims responsibility on its web…,Media,Affected individuals,Related and informative
RT @AP: MORE: Suspect in LAX shooting in custody: http://t.co/8OiBemH3mx -CJ,Media,Other Useful Information,Related and informative
Frightening if genuine. Note: slightly graphic. RT @TJD19083: LAX Terminal 3 Shooter Scene http://t.co/mw90DgRbJ1,Media,Affected individuals,Related and informative
RT @alexmorgan13: Praying for those involved in the LAX shooting. Scary thinking about how many times I've gone through that airport.,Outsiders,Sympathy and support,Related - but not informative
RT @911LAPD: There will be a Press Conference at 11:30am. Pls wait for the verified info as there are many versions of what happened. #LAX …,Government,Other Useful Information,Related and informative
This is absolutely disgusting. So easy to hide behind your computer. Hate is ugly #LAX #Tragic http://t.co/5CobARVqLZ,Outsiders,Sympathy and support,Related - but not informative
RT @CharlieKayeCBS: BREAKING. Source tells @CBSNews TSA agent who was shot at LAX has now died; the suspect is an off-duty TSA agent.,Media,Affected individuals,Related and informative
"RT @GlobalGrind: UPDATE: NBC confirms TSA employee shot &amp; killed, another wounded http://t.co/jd4qQf4NJN #LAXshooting",Media,Affected individuals,Related and informative
RT @guardian: LAX: several people reported injured after airport shooting – live http://t.co/tv82BupcMr,Media,Affected individuals,Related and informative
RT @jorgeramosnews: Delayed flights at LAX. Gunman arrested. Multiple victims. Nothing will change in the country after this.,Outsiders,Affected individuals,Related and informative
2 Wounded in Los Angeles Airport Shooting http://t.co/2SO5ZzdT4c,Media,Affected individuals,Related and informative
Witness: Mayhem: An eyewitness describes the scene after a shooting inside Los Angeles International Airport.       http://t.co/5u94vNEq6O,Eyewitness,Affected individuals,Related and informative
RT @911LAPD: There will be a Press Conference at 11:30am. Pls wait for the verified info as there are many versions of what happened. #LAX …,Government,Other Useful Information,Related and informative
RT @CharlieKayeCBS: BREAKING. Source tells @CBSNews TSA agent who was shot at LAX has now died; the suspect is an off-duty TSA agent.,Media,Affected individuals,Related and informative
RT @WIBXnews: press conference for .#LAXTerminal3 @LAX_Official Los Angeles International Airport shooting http://t.co/pKFR4M2KJm,Media,Other Useful Information,Related and informative
RT @ajam: BREAKING: Authorities say they have a suspect in custody after shooting at LAX; multiple victims reported http://t.co/yNqSc8pvNt,Media,Other Useful Information,Related and informative
RT @alexmorgan13: Praying for those involved in the LAX shooting. Scary thinking about how many times I've gone through that airport.,Outsiders,Sympathy and support,Related - but not informative
All these people talking politics while someone has just lost a loved one..Its sick my prays go out to all of them RT #LAXShooting #LAX,Outsiders,Sympathy and support,Related - but not informative
Watch a LIVE STREAM of the News in Los Angeles About the LAX Airport Shooting: By Haley Longman If you... http://t.co/HXyKFgYJnI #gossip,Media,Other Useful Information,Related and informative
"Suspect in custody after Los Angeles Airport shooting; multiple victims reported - @CBSLA, @LAX_Official http://t.co/s8dj29G916 #sp4zee",Media,Affected individuals,Related and informative
#LAXshooting grinho loco dispara rifle y mata a dos personas,Not labeled,Not labeled,Not applicable
RT @RT_America: BREAKING: #LAX gunman was off-duty TSA agent according to @CBSNews http://t.co/Xl2TNS7zjN,Media,Affected individuals,Related and informative
RT @ap: MORE: Suspect in LAX shooting in custody: http://t.co/4AcDECu7qq -CJ,Media,Affected individuals,Related and informative
first photos of TSA agents at #LAX are appearing. http://t.co/Iv2bFucUUD,Media,Affected individuals,Related and informative
#STAYWOKEDAWG RT @CharlieKayeCBS: BREAKING. Law enforcement source tells @CBSNews the LAX shooter was an off-duty TSA agent.,Media,Affected individuals,Related and informative
"RT @BreakingNews: Suspect in custody after Los Angeles Airport shooting; multiple victims reported - @CBSLA, @LAX_Official",Media,Affected individuals,Related and informative
"On @FoxNews witness asks if #TSA is armed? Reporter NO! Witness replies TSA ran w/us, aren't they there to keep us safe? #tcot #LAXShooting",Eyewitness,Affected individuals,Related - but not informative
RT @ABC7: #LAX UPDATE: Police asking people to avoid LAX area for the next several hours http://t.co/u5lTveArpy,Media,Caution and advice,Related and informative
Il responsabile della sparatoria potrebbe essere ex-agente TSA in pensione. Spiegherebbe come sia arrivato al gate con un fucile così. #LAX,Not labeled,Not labeled,Not applicable
RT @SovernNation: BREAKING: @CBSNews learns #TSA agent shot at #LAX has died; gunman was an off-duty TSA officer.,Media,Affected individuals,Related and informative
RT @alexmorgan13: Praying for those involved in the LAX shooting. Scary thinking about how many times I've gone through that airport.,Outsiders,Sympathy and support,Related - but not informative
RT @CharlieKayeCBS: BREAKING. Source tells @CBSNews TSA agent who was shot at LAX has now died; the suspect is an off-duty TSA agent.,Media,Affected individuals,Related and informative
RT @911LAPD: There will be a Press Conference at 11:30am. Pls wait for the verified info as there are many versions of what happened. #LAX …,Government,Other Useful Information,Related and informative
RT @rauldemolina: Pistolero con rifle en manó disparo cerca de las puerta 35 de el aeropuerto de  #LAX  Muerto y heridos,Not labeled,Not labeled,Not applicable
"RT @johnasbury: RT @ABC7 #LAX UPDATE: One TSA officer has died and multiple TSA employees were shot, sources confirm",Media,Affected individuals,Related and informative
"RT @ericgarcetti: At LAX in scene w/ Chiefs Gannon, Beck, &amp; Featherstone. Please do not come to airport if you have flight for time being. …",Eyewitness,Caution and advice,Related and informative
"RT @ABC7: #LAX UPDATE: One TSA officer has died and multiple TSA employees were shot, sources confirm http://t.co/u5lTveArpy",Media,Affected individuals,Related and informative
LAX SHooter suspect~ Believe  former TSA Agent,Outsiders,Affected individuals,Related and informative
So the LAX shooter is or was a TSA agent according to Fox News.,Media,Other Useful Information,Related and informative
"RT @latimes: One TSA officer was killed in #LAX shootings, source tells us. Three or four other TSA workers injured. More soon.",Media,Affected individuals,Related and informative
"RT @tyleroakley: Just heard about the shooting at my airport. I'm fine, but considering I'm at LAX about 6 times a month, it's a bit scary …",Outsiders,Infrastructure and utilities,Related - but not informative
.@NBCNews is now reporting the #LAX gunman has been killed.,Media,Affected individuals,Related and informative
"RT @salvadorduran: Oficial de TSA muere víctima del tiroteo, según autoridades en Los Angeles.  #LAX",Not labeled,Not labeled,Not applicable
"RT @latimes: One TSA officer was killed in #LAX shootings, source tells us. Three or four other TSA workers injured. More soon.",Media,Affected individuals,Related and informative
"RT @pattonoswalt: Let's see if the gun rights advocates can wait a decent interval before spouting their bullsh -- oops, never mind. #LAX",Outsiders,Other Useful Information,Related - but not informative
LAX: several people reported injured after airport shooting – live http://t.co/ziv893RbBO #news #breaking #info #worldaffairs #Stayinformed,Media,Affected individuals,Related and informative
3 Wounded in shooting at Los Angeles airport http://t.co/p3aoBbDVOR | http://t.co/feRpx8Yzq3,Media,Affected individuals,Related and informative
RT @CharlieKayeCBS: BREAKING. Law enforcement source tells @CBSNews the LAX shooter was an off-duty TSA agent.,Media,Affected individuals,Related and informative
"RT @latimes: #LAX shooting: Suspect does not appear to be tied to terrorist organization, source says http://t.co/euVlRqxU2W",Media,Affected individuals,Related and informative
RT @AP: MORE: Possible shooting reported at Los Angeles airport: http://t.co/3GfYSGjjAt -CJ,Media,Affected individuals,Related and informative
RT @alexmorgan13: Praying for those involved in the LAX shooting. Scary thinking about how many times I've gone through that airport.,Outsiders,Sympathy and support,Related - but not informative
"RT @BostonLogan: If you’re flying to LAX today, please check with your airline before coming to the airport.",Not labeled,Not labeled,Not related
RT @JRKnicely: BREAKING: #SEA airport in ground stop for flights to LA. So no flights leaving SEA for LAX @KIRO7Seattle,Not labeled,Not labeled,Not related
RT @alexmorgan13: Praying for those involved in the LAX shooting. Scary thinking about how many times I've gone through that airport.,Outsiders,Sympathy and support,Related - but not informative
Another day in this crazy world of ours smh #LAX,Outsiders,Sympathy and support,Related - but not informative
Can we talk about guns now? #LAX,Outsiders,Sympathy and support,Related - but not informative
.@TwitterForNews RT @ABC7 #LAX Terminal 3 Shooting Timeline http://t.co/7lclxcAVEf,Media,Other Useful Information,Related and informative
RT @CBSEveningNews: #BREAKING: We have confirmed one TSA officer dead. Multiple TSA officers wounded. #LAXShooting,Media,Affected individuals,Related and informative
"RT @latimes: Alleged #LAX gunman is dead, law enforcement sources tell @latimes. Post coming.",Media,Other Useful Information,Related and informative
RT @AP: BREAKING: Police say suspect in custody following LAX shooting.,Media,Affected individuals,Related and informative
"RT @troyesivan: My thoughts are with the victims at #LAX and with the people of Los Angeles. Stay safe everyone, people are crazy.",Outsiders,Sympathy and support,Related - but not informative
Our prayers and best wishes goes out to all involved in the #LAX shooting.,Outsiders,Sympathy and support,Related - but not informative
RT @politico: LAX evacuated after multiple TSA agents and a suspect were shot. Via @PoliticoKevin: http://t.co/FHtnXt7wYQ,Media,Affected individuals,Related and informative
"Here is what we know about #LAX shooting: Man opens fire with rifle, 1 dead, several wounded http://t.co/nIWabUjtTO",Media,Affected individuals,Related and informative
"RT @troyesivan: My thoughts are with the victims at #LAX and with the people of Los Angeles. Stay safe everyone, people are crazy.",Outsiders,Sympathy and support,Related - but not informative
"@troyesivan i agree but its not that easy to get rid , my thoughts go out #LAX",Outsiders,Sympathy and support,Related - but not informative
#LAXShooting I wish for peace in this world. My prayers are with you.,Outsiders,Sympathy and support,Related - but not informative
RT @ABC7: #LAX Terminal 3 Shooting Timeline http://t.co/MitofLgUPZ,Media,Other Useful Information,Related and informative
"RT @abc13houston: According to @ABC News, TSA agent shot at #LAX has died  http://t.co/Svad3bfn8m #abc13",Media,Affected individuals,Related and informative
RT @AP: AP PHOTOS: Passengers evacuate Los Angeles International Airport following a shooting: http://t.co/iaDFjT6N34 http://t.co/kyuMdnc6g…,Media,Caution and advice,Related and informative
RT @RickSforza: Security officials at LA/Ontario International Airport claim normal security procedures in the wake of LAX shooting http://…,Media,Infrastructure and utilities,Related and informative
RT @RT_com: LATEST UPDATES on incident at #LAX: http://t.co/eUIMXsS0KA LIVE evacuation: http://t.co/G5GZt5sJ0p http://t.co/Ne6kKvf0KK,Media,Other Useful Information,Related and informative
"RT @LAWeekly: #LAX update: LAPD has asked drivers to avoid the area. Century closed, Manchester, Sepulveda &amp; the 105 not moving. http://t.c…",Media,Infrastructure and utilities,Related and informative
"Shots at #LAX prompt evacuation, stall flights http://t.co/GyzVlIE443 #wftv  #LAXShooting",Media,Infrastructure and utilities,Related and informative
RT @nbcnightlynews: LATEST: All shooting victims at LAX were TSA employees; 1 killed and as many as 3 others wounded - @PeteWilliamsNBC,Media,Affected individuals,Related and informative
RT @nbcnightlynews: LATEST: All shooting victims at LAX were TSA employees; 1 killed and as many as 3 others wounded - @PeteWilliamsNBC,Media,Affected individuals,Related and informative
RT @KVUE: WATCH LIVE: Live coverage on fatal shooting at #LAX inside this story: http://t.co/0wa3xz4ZU5 Suspect is in custody. #LAXShooting,Media,Affected individuals,Related and informative
Praying for the shooting victims at LAX❤️🙌🙏,Outsiders,Sympathy and support,Related - but not informative
RT @1Dneews: I hope everyone is safe and okay at LAX airport I just heard about the shooting!,Outsiders,Sympathy and support,Related - but not informative
Listening to this shooting at LAX on CNN.. Shootings happen every single day but only certain ones are heavily publicized; gotta be a reason,Outsiders,Other Useful Information,Related - but not informative
People disregard the value of life and it has created a scary new paradigm of violence and hatred in the world #LAXShooting,Outsiders,Sympathy and support,Related - but not informative
RT @Kirkland96: Prayers for #LAX,Outsiders,Sympathy and support,Related - but not informative
RT @JazzyRhia: Wow my heart goes out to the victims of the shooting at LAX.,Outsiders,Sympathy and support,Related - but not informative
"RT @cnnbrk: LAX confirms suspect  in custody, multiple victims in airport shooting. http://t.co/6iPMwBpriM",Media,Affected individuals,Related and informative
RT @TelemundoNews: #LAX: el #sospechoso es un ciudadano estadounidenses en sus 20 años.,Not labeled,Not labeled,Not applicable
RT @BarrettAll: Off-duty TSA agent shot and killed at #LAX. My thoughts and prayers go to the family and all involved. http://t.co/aKuEfOwK…,Outsiders,Sympathy and support,Related and informative
RT @nbcnightlynews: LATEST: All shooting victims at LAX were TSA employees; 1 killed and as many as 3 others wounded - @PeteWilliamsNBC,Media,Affected individuals,Related and informative
RT @JEGenovese: PHOTO: Rifle believed to be used in #LAX shooting. Possibly AR-15. (via @AlienGurudeva) http://t.co/Flu0oforMs,Media,Other Useful Information,Related and informative
RT @BHScanner: LAX: 1 TSA agent dead. Shooter dead. 3+ TSA agents injured at UCLA Hosp. Bomb Squad en rte. Fluid situation. #MyDayInLA,Media,Affected individuals,Related and informative
"#LAXShooting @CNN reporting 3 victims at Ronald Reagan UCLA Medical Center, 1 critical",Media,Affected individuals,Related and informative
RT @LANow: BREAKING: Sources tell @latimes that LAX shooter was a TSA employee. He was shot dead after killing fellow worker. Post coming.,Media,Affected individuals,Related and informative
RT @CBSLA: #LAX UPDATE: #LAPD Cmdr Andrew Smith: 1 suspect in custody. There is no second suspect. http://t.co/u2w91HIAhP,Media,Other Useful Information,Related and informative
RT @LAWeekly: #LAX Update: LAPD confirmed they shot the suspect http://t.co/STp7covera,Government,Affected individuals,Related and informative
RT @KMBZnews: #BREAKING: @ABC reports the shooter at #LAX is dead.,Media,Affected individuals,Related and informative
"I'm at Los Angeles International Airport (LAX) - @lax_official (Los Angeles, CA) w/ 175 others http://t.co/tz6yPuIMOv",Not labeled,Not labeled,Not related
ths Appears To B The Scene Of The LAX Shootin http://t.co/81jeoYBhEU #AR #enforcement #LAX #TSA,Media,Other Useful Information,Related and informative
RT @DebFeyerickCNN: #LAXShooting Gunman walked up to security checkpoint shot a #TSA agent &amp; was then shot by an officer as he stepped thro…,Media,Affected individuals,Related and informative
RT @grantimahara: Something just happened at #LAX. TSA and police running everywhere.,Eyewitness,Caution and advice,Related - but not informative
"RT @RT_com: UPDATE: 1 patient in critical, 2 others in fair condition at UCLA Medical Center after #LAX shooting - @NBCNews http://t.co/eUI…",Media,Affected individuals,Related and informative
RT @rickworthy: Another shooting!??...What the hell is  going on????...#Senseless #LAXshooting ..Thoughts and prayers to the victims and th…,Outsiders,Sympathy and support,Related - but not informative
RT @BBCNewsUS: Shooting reported at #LAX - emergency vehicles on tarmac http://t.co/XSFNkIBPYk Photo courtesy of @foxsportsreiter http://t.…,Media,Infrastructure and utilities,Related and informative
Just another shooting nbd #murica .... #sarcasm #hugedeal #LAX #shooting,Outsiders,Other Useful Information,Related - but not informative
LAX shooting : 1 TSA agent dead...3 wounded at ucla medical.. 1 critical..shooter in custody shot in leg ..high powered rifle recovered,Outsiders,Affected individuals,Related and informative
RT @LAX_Official: UPDATE: Press conference in a few minutes will be at entrance to LAX at Sepulveda Blvd &amp; Century Blvd with Airport Police…,Government,Other Useful Information,Related and informative
MT @BrianSumers: Airport police official tells me that suspect tried to flee inside terminal &amp; was pursued. Fire exchanged. #LAXShooting,Media,Affected individuals,Related and informative
So apparently there was a shooting at #LAX #whatisthisworldcomingto,Outsiders,Other Useful Information,Related - but not informative
RT @sassystewrants: All shooting victims at LAX were TSA employees; 1 killed and as many as 3 others wounded. http://t.co/WKWcdMZbOC [NEW P…,Media,Affected individuals,Related and informative
RT @DanielleCNN: Shooting at #LAX. Triage team setting up. Red = critical. Yellow = stable/needs treatment. Green = walking wounded. http:/…,Media,Affected individuals,Related and informative
RT @CNN: A federal source confirmed that a TSA officer was killed in the shooting @#LAX. Stay up to date w/the latest details: http://t.co/…,Media,Affected individuals,Related and informative
RT @CNN: A federal source confirmed that a TSA officer was killed in the shooting @#LAX. Stay up to date w/the latest details: http://t.co/…,Media,Affected individuals,Related and informative
AMEN to that!! RT @SamValley: What a relief not to have to listen to Antonio Villaraigosa at a press conference anymore. #LAXShooting,Outsiders,Other Useful Information,Related - but not informative
"RT @ajamlive: Airport police chief Gannon confirms shooter pulled an assault rifle out of bag, continued shooting in area where screeners a…",Media,Affected individuals,Related and informative
My prayers go out to all affected by the #LAXShooting :(,Outsiders,Sympathy and support,Related - but not informative
LAX: Shooter shot and killed by LAXPD during exchange of gunfire. Acted alone.,Outsiders,Affected individuals,Related and informative
I know a few people that were in that terminal. I send my heart and condolences to all the victims &amp; their families of the LAX shooting.,Eyewitness,Sympathy and support,Related - but not informative
RT @paugasol: Shocked by the shooting at LAX this morning. My thoughts and prayers go to the victims of this terrible incident.,Outsiders,Sympathy and support,Related - but not informative
Source: LAX gunman in custody: A suspect has been shot and is in police custody after Friday's shoo... http://t.co/gcKTGz0duQ #lancaster,Media,Affected individuals,Related and informative
@Alyssa_Milano @TheAtlanticWire | Los Angeles International Airport's airport code is L-A-X for a reason; it's LAX in security.,Media,Other Useful Information,Related - but not informative
RT @stevengregory: LA Mayor Garcetti says some flights at #LAX have begun to take off. Scene seems to be calling down.… http://t.co/ODaBVOd…,Outsiders,Other Useful Information,Related and informative
LAPD say they believe person in custody was the lone gunman in this morning's shooting at #LAX. No word on extent of victims' injuries,Government,Affected individuals,Related and informative
Hear our exclusive interview with a man confronted by the LAX shooter! @SlackerRadio.  http://t.co/Bcfj6e2eoY,Media,Affected individuals,Related and informative
"Hauptsache, der Ton stimmt... - Gesehen bei @CNN zu #LAX http://t.co/DsOmXD1MYg",Not labeled,Not labeled,Not applicable
"RT @BBCBreaking: Man opened fire with assault rifle in security screening area at #LAX Terminal 3, Los Angeles police say http://t.co/swrfb…",Media,Infrastructure and utilities,Related and informative
"RT @kyoshino: LAX shooter pulled assault rifle out of bag at TSA screening area, shot at TSA screeners, 'opened fire' in terminal, LAX poli…",Outsiders,Other Useful Information,Related and informative
"RT @BreakingNews: TSA agent killed in Los Angeles airport shooting - @AP, @NBCNews, @cnnbrk",Media,Affected individuals,Related and informative
California has some of the strictest firearms laws in the Nation.Goes to show you can't legislate those who dont follow laws. #LAXShooting,Outsiders,Other Useful Information,Related - but not informative
"RT @911LAPD: LA Mayor @ericgarcetti advises situation safe for those in #LAX airport; flights continuing to land, but requests people not t…",Government,Caution and advice,Related and informative
#LAXShooting live Beck: Unified command working well. Won't discuss injuries now.,Eyewitness,Other Useful Information,Related and informative
RT @emmak_8: Keeping LAX in my prayers. It's not like TSA could get any tighter... But they just might. #LAXshooting,Outsiders,Sympathy and support,Related - but not informative
#ElSegundo security incident on 105 WB between Nash St and Sepulveda Blvd in #Lax #LAtraffic http://t.co/e2e6MW3d78,Media,Other Useful Information,Related and informative
RT @KHOU: #BREAKING: TSA agent killed in #LAX shooting.  http://t.co/fnUAcOHoaI #khou http://t.co/bsyxpdBuMT,Media,Affected individuals,Related and informative
Airport police engaged and neutralize lone shooter after suspect shot through TSA checkpoint. #BREAKING #LAX #LAXShooting suspect injured,Media,Affected individuals,Related and informative
A shooter at LAX 😳,Outsiders,Sympathy and support,Related - but not informative
@robynmcintyre The police are not confirming that #scifichat #lax,Not labeled,Not labeled,Not related
"RT @latimes: #LAX news conference: FBI special agent says 'at this point, we do not see any additional threats'",Media,Affected individuals,Related and informative
RT @LANow: BREAKING: Sources tell @latimes that LAX shooter was a TSA employee. He was shot dead after killing fellow worker. Post coming.,Media,Affected individuals,Related and informative
RT @FoxNews: #LAX Police Chief says a lone shooter was armed with an assault rifle in the shooting at LA International Airport,Media,Other Useful Information,Related and informative
"RT @MotherJones: LAX Police Chief: As we stand here right now, there is only one individual that is responsible for this. #LAXShooting",Government,Other Useful Information,Related and informative
RT @callmedollar: Terrible incident at #LAX. It's bad enough airline tickets cost as much as car payments and now you have to worry about b…,Outsiders,Caution and advice,Related - but not informative
RT @ABC: Official: No additional threats at the airport after shooting at LAX,Media,Other Useful Information,Related and informative
Shooting Heard At Los Angeles Airport: Los Angeles International Airport has been locked down amid report of g... http://t.co/X0VLJUVcIQ,Media,Infrastructure and utilities,Related and informative
"RT @GailenDavid: NEW PHOTO: Rifle disarmed at gate 36, bloodied clothes along side. #laxshooting #breakingnews #lax http://t.co/2hHF5bvd2o",Media,Other Useful Information,Related and informative
This is a fucked up place #LAXShooting,Outsiders,Sympathy and support,Related - but not informative
RT @BBCBreaking: Several people wounded at Los Angeles International Airport after reports of gunshots http://t.co/Pbd9PTulZR #LAX,Media,Affected individuals,Related and informative
RT @ShepNewsTeam: #BreakingNews: Law enforcement sources have told @adamhousley that suspect in #LAXShooting is connected to the #TSA.,Media,Other Useful Information,Related and informative
RT @cbsboston: RT @CBSLA: Eye witnesses and celebrities shared their experiences during and after the shooting at #LAX http://t.co/eLJ8Yu0N…,Media,Affected individuals,Related and informative
RT @USATODAY: LAX airport chief: Shooter had assault rifle and shot his way past screeners and into airport itself. Isolated to Terminal 3.,Media,Infrastructure and utilities,Related and informative
RT @bob_owens: FACT: An actual legally-purchased selective-fire assault rifle has never been used to commit a murder in U.S. history. #LAX …,Outsiders,Other Useful Information,Related - but not informative
RT @KyungLahCNN: From the presser: 7 patients.  Transported 6 to area hospitals. 100 LAF officials on the scene. #LAXShooting,Media,Affected individuals,Related and informative
"LAX airport shooting: 'Mythbusters,' James Franco, Nick Jonas and more on the scene http://t.co/BuonwZEDTa",Media,Other Useful Information,Related - but not informative
Shift from sorrow for victims of LAX shooting to blaming gun lobby and laws in 3...2...  #noclass,Outsiders,Sympathy and support,Related and informative
@GameHounds is LAX the airport you worked at??,Not labeled,Not labeled,Not related
"As someone who flies all the time... And is currently in an airport, this LAX situation is unnerving.",Outsiders,Affected individuals,Related - but not informative
@AuliaRahmanFc: Shooting at Los Angeles International airport: Nov. 1 A gunman with a high powered rifle was shot by law enfor... GTA5,Government,Other Useful Information,Related and informative
@ovoGENxo Some idiot got past security and into the airport terminal and was shooting people. A cop died an other were shot and injured.,Outsiders,Affected individuals,Related and informative
Louisiana Pain sends our thought &amp; prayers to those affected by the shooting at #LAX International Airport morning.,Outsiders,Sympathy and support,Related - but not informative
RT @bob_owens: FACT: An actual legally-purchased selective-fire assault rifle has never been used to commit a murder in U.S. history. #LAX …,Outsiders,Other Useful Information,Related and informative
Praying for everyone at #LAX &amp; hope everyone there is safe! #LAXShooting,Outsiders,Sympathy and support,Related - but not informative
Going to the #REIEXPO so should you See me at booth 109 I speak Sunday Morning at 9:00 U MUST GO Driving in no #LAX http://t.co/rAJ5NFAy2E,Not labeled,Not labeled,Not related
.@deadmau5 VIDEO: Passengers told to leave LAX airport: Several people are wounded by gunfire at Los Angeles Interna...  @BasedBieberLife,Outsiders,Affected individuals,Related and informative
RT @bob_owens: FACT: An actual legally-purchased selective-fire assault rifle has never been used to commit a murder in U.S. history. #LAX …,Not labeled,Not labeled,Not related
RT @ABC: Breaking: One TSA officer is dead after shooting at #LAX - live updates: http://t.co/Bx8JLW0yi6,Media,Affected individuals,Related and informative
"RT @__Stunning: people are freaking idiots, like why are you shooting at an airport? idiot.",Outsiders,Sympathy and support,Related - but not informative
"RT @tjimbo: 犯人が撃たれて捕まったようだ。RT @cnnbrk: Suspect at LAX was shot and is in police custody, source says. http://t.co/TgW9zmf0t5",Media,Affected individuals,Related and informative
RT @NewsBreaker: NEW CLOSE UP: Picture of possible rifle used in #LAXshooting http://t.co/NmJUa5edJP - @NBCLA http://t.co/6Wixo2spTp,Media,Other Useful Information,Related and informative
RT @ToryBelleci: Just announced. Law enforcement has secured the area. Slowly letting people leave this terminal. #LAXshooting,Media,Other Useful Information,Related and informative
"RT @BuzzFeedNews: LAX Update:  - Suspect used assault rifle; in custody  - 1 TSA agent killed, 3 injured  - 7 people treated, 6 transported…",Media,Affected individuals,Related and informative
